id,name,smiles
AAPpIc,4-methylimidazole,CC1=CN=CN1
AAPpak,1-methylimidazole,Cn1ccnc1
AAPpiB,2-methylimidazole,CC1=NC=CN1
AAPpqL,1-hexyne,C#CCCCC
AAQFfD,krypton,[Kr]
AAQIZu,"1,1,1-trifluoroethane",CC(F)(F)F
AAQJPN,cyclopentanone,O=C1CCCC1
AAQJQa,potassium formate,O=C[O-].[K+]
AAQJSl,thiophene,c1ccsc1
AAQJYG,hex-1-ene,C=CCCCC
AAQJbW,methylcyclopentane,CC1CCCC1
AAQJde,(E)-3-methyl-2-pentene,C/C=C(\C)CC
AAQJeB,benzene-d6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]
AAQJlb,cyclohexane,C1CCCCC1
AAQJqG,(E)-3-hexene,CC/C=C/CC
AAQJqX,(E)-4-methyl-2-pentene,C/C=C/C(C)C
AAQRGv,dichloromethane,ClCCl
AAQRpw,sodium nitrate,O=[N+]([O-])[O-].[Na+]
AAQTOi,"1,3-thiazole",c1cscn1
AAQTZI,2-pyrrolidinone,O=C1CCCN1
AAQcIw,methyl propenoate,C=CC(=O)OC
AAQcOE,vinyl acetate,C=COC(C)=O
AAQcgW,.gamma.-butyrolactone,O=C1CCCO1
AAQcui,4-methyl-2-oxetanone,CC1CC(=O)O1
AAQcyL,"1,3-dioxol-2-one",O=c1occo1
AAQdGo,pentan-2-one,CCCC(C)=O
AAQdPp,2-methylpentane,CCCC(C)C
AAQdRV,"2,2-dimethylbutane",CCC(C)(C)C
AAQdRr,piperazine,C1CNCCN1
AAQdeb,pentanal,CCCCC=O
AAQdgk,3-methylpentane,CCC(C)CC
AAQdmS,3-methyl-2-butanone,CC(=O)C(C)C
AAQdvx,pentan-3-one,CCC(=O)CC
AAQdzy,hexane,CCCCCC
AAQgNa,chlorodifluoromethane,FC(F)Cl
AAQklV,lithium bromide,[Br-].[Li+]
AAQnVO,1-pentanamine,CCCCCN
AAQngv,"N,N-dimethylethanamide",CC(=O)N(C)C
AAQwFH,ethylene carbonate,O=C1OCCO1
AAQwdv,2-oxopropanoic acid,CC(=O)C(=O)O
AAQwqo,tetrafluoromethane,FC(F)(F)F
AAQxDG,2-methyl-1-butanol,CCC(C)CO
AAQxHM,methyl propanoate,CCC(=O)OC
AAQxQx,2-methylpropanoic acid,CC(C)C(=O)O
AAQxSq,ethyl acetate,CCOC(C)=O
AAQxVB,pentan-2-ol,CCCC(C)O
AAQxal,pentan-1-ol,CCCCCO
AAQxcJ,butyl methyl ether,CCCCOC
AAQxjL,2-methoxy-2-methylpropane,COC(C)(C)C
AAQxlj,butanoic acid,CCCC(=O)O
AAQxnz,"1,4-dioxane",C1COCCO1
AAQxvM,3-methylbutan-1-ol,CC(C)CCO
AAQxyP,3-pentanol,CCC(O)CC
AAQxyw,2-methylbutan-2-ol,CCC(C)(C)O
AARGJq,(S)-2-aminopropanoic acid,C[C@H](N)C(=O)O
AARGQT,1-nitropropane,CCC[N+](=O)[O-]
AARGRk,3-aminopropanoic acid,NCCC(=O)O
AARGxa,sodium dicyanamide,N#C[N-]C#N.[Na+]
AARGzi,DL-2-aminopropanoic acid,CC(N)C(=O)O
AARHIT,1-pentanol-O-d,C(CCCC)O[2H]
AARHPS,"2-(N,N-dimethylamino)ethanol",CN(C)CCO
AARHTY,2-amino-2-methylpropan-1-ol,CC(C)(N)CO
AARQcb,"1,3,5-trioxane",C1OCOCO1
AARQjp,2-hydroxypropanoic acid,CC(O)C(=O)O
AARQqy,dimethyl carbonate,COC(=O)OC
AARQxQ,ethanedioic acid,O=C(O)C(=O)O
AARRFZ,2-butanethiol,CCC(C)S
AARRPK,"1,3-diamino-2-propanol",NCC(O)CN
AARRPu,2-ethoxyethan-1-ol,CCOCCO
AARRRo,1-methoxy-2-propanol,COCC(C)O
AARRYD,"(R*,S*)-2,3-butanediol",C[C@H](O)[C@@H](C)O
AARRYu,"1,2-dimethoxyethane",COCCOC
AARRrA,"2,3-butanediol",CC(O)C(C)O
AARRsn,"1,3-butanediol",CC(O)CCO
AARRxF,"1,2-butanediol",CCC(O)CO
AARRzH,"1,4-butanediol",OCCCCO
AARbOp,"2-amino-1,3-propanediol",NC(CO)CO
AARbYK,"3-amino-1,2-propanediol",NCC(O)CO
AARbsW,ethylammonium formate,CC[NH3+].O=C[O-]
AARkmK,glycerol,OCC(O)CO
AARlZL,2-mercaptoacetic acid,O=C(O)CS
AARldH,"butane-1,2-diol-d2",C(O[2H])C(O[2H])CC
AARlpN,toluene,Cc1ccccc1
AARpaM,1-chlorobutane,CCCCCl
AARuIV,hydroxylammonium acetate,CC(=O)[O-].[NH3+]O
AARvIf,aniline,Nc1ccccc1
AARvJd,3-methylpyridine,Cc1cccnc1
AARvRf,2-methylpyridine,Cc1ccccn1
AARvjM,4-methylpyridine,Cc1ccncc1
AASBKR,lithium tetrafluoroborate,[Li+].[B-](F)(F)(F)F
AASFLt,pentanedinitrile,N#CCCCC#N
AASFbA,phenol,Oc1ccccc1
AASILr,chloroethanoic acid,O=C(O)CCl
AASPYt,2-pyridinone,C1=CC(=O)NC=C1
AASPko,.gamma.-hydroxypyridine,C1=CNC=CC1=O
AASPpW,3-pyridinol,C1=CC(=CN=C1)O
AASQTG,magnesium chloride,[Cl-].[Cl-].[Mg+2]
AASYDH,2-furaldehyde,O=Cc1ccco1
AASYFF,sodium propanoate,CCC(=O)[O-].[Na+]
AASYqN,"1,1,1-trifluoro-2-propene",C=CC(F)(F)F
AASZAt,fluorobenzene,Fc1ccccc1
AASZJo,1-methylcyclohexene,CC1=CCCCC1
AASZaJ,2-ethylfuran,CCc1ccco1
AASZsI,1-heptyne,C#CCCCCC
AASZvN,"2,5-dimethylfuran",Cc1ccc(C)o1
AASafe,cyclohexane-d12,[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H]
AAShcA,"(E)-1,2-dichloroethene",Cl/C=C/Cl
AAShdR,"(Z)-1,2-dichloroethene",Cl/C=C\Cl
AASiVV,2-fluoropyridine,Fc1ccccn1
AASjJB,hexanenitrile,CCCCCC#N
AASrED,ammonium bromide,[Br-].[NH4+]
AASskD,sulfuric acid,O=S(=O)(O)O
AAStGU,2-hydroxymethylfuran,OCc1ccco1
AAStQw,potassium ethanoate,CC(=O)[O-].[K+]
AAStUS,1-heptene,C=CCCCCC
AASthc,2-methylthiophene,Cc1cccs1
AAStis,cycloheptane,C1CCCCCC1
AAStxH,cyclohexanone,O=C1CCCCC1
AAStyH,methylcyclohexane,CC1CCCCC1
AAStyT,3-methylthiophene,Cc1ccsc1
AATBts,copper monochloride,Cl[Cu]
AATBwO,"1,2-dichloroethane",ClCCCl
AATBzO,"1,1-dichloroethane",CC(Cl)Cl
AATDWH,cyclohexylamine,NC1CCCCC1
AATDtI,N-methylpyrrolidone,CN1CCCC1=O
AATMSw,"2,2,2-trifluoroethanol",OCC(F)(F)F
AATMTn,"5-hydroxy-3-methyl-1,2,3-oxadiazolium inner salt",C[n+]1cc([O-])on1
AATMeW,trifluoromethoxymethane,COC(F)(F)F
AATMsb,tetrafluoroethene,C(=C(F)F)(F)F
AATNDc,.gamma.-valerolactone,CC1CCC(=O)O1
AATNOG,1-oxacyclohexan-2-one,O=C1CCCCO1
AATNXM,2-hexanone,CCCCC(C)=O
AATNfl,hexanal,CCCCCC=O
AATNgX,4-methylpentan-2-one,CC(=O)CC(C)C
AATNmr,vinyl propanoate,C=COC(=O)CC
AATNnx,cyclohexanol,OC1CCCCC1
AATNoy,3-hexanone,CCCC(=O)CC
AATNpB,"2,4-pentanedione",CC(=O)CC(C)=O
AATNpp,2-methylpiperazine,CC1CNCCN1
AATNsm,methyl methacrylate,C=C(C)C(=O)OC
AATNvw,"1,2-epoxyhexane",CCCCC1CO1
AATNwj,tetramethylammonium cyanide,C[N+](C)(C)C.[C-]#N
AATOQX,"2,3-dimethylpentane",CCC(C)C(C)C
AATOnt,heptane,CCCCCCC
AATXOY,1-hexanamine,CCCCCCN
AATXhs,triethylamine,CCN(CC)CC
AATXuS,potassium nitrate,O=[N+]([O-])[O-].[K+]
AATgWD,"1,1,2,2-tetrafluoroethane",FC(F)C(F)F
AATgYC,"1,1,1,2-tetrafluoroethane",FCC(F)(F)F
AATgdC,propylene carbonate,CC1COC(=O)O1
AAThDL,2-hexanol,CCCCC(C)O
AAThEN,pentanoic acid,CCCCC(=O)O
AAThFJ,dipropyl ether,CCCOCCC
AAThJW,butyl ethyl ether,CCCCOCC
AAThMD,2-methyl-2-pentanol,CCCC(C)(C)O
AAThNW,2-methoxy-2-methylbutane,CCC(C)(C)OC
AAThQq,diisopropyl ether,CC(C)OC(C)C
AAThYT,hexan-1-ol,CCCCCCO
AAThcz,propyl ethanoate,CCCOC(C)=O
AAThgV,1-methylethyl ethanoate,CC(=O)OC(C)C
AAThjv,methyl butanoate,CCCC(=O)OC
AAThpH,ethyl propanoate,CCOC(=O)CC
AAThrn,2-ethoxy-2-methylpropane,CCOC(C)(C)C
AAToTh,sodium bromide,[Br-].[Na+]
AATrJY,benzonitrile,N#Cc1ccccc1
AATrVQ,1-(dimethylamino)-2-propanol,CC(O)CN(C)C
AATreB,di(2-aminoethyl)amine,NCCNCCN
AATrjE,"1,1-dimethylhydrazinium azide",C[NH+](C)N.[N-]=[N+]=[N-]
AATrxK,(.+-.)-.alpha.-aminobutyric acid,CCC(N)C(=O)O
AATrxM,1-hexanol-d,[2H]OCCCCCC
AAUAdY,propanedioic acid,O=C(O)CC(=O)O
AAUBJE,styrene,C=Cc1ccccc1
AAUBLb,1-ethoxy-2-propanol,CCOCC(C)O
AAUBPJ,"1,2-pentanediol",CCCC(O)CO
AAUBWU,ethyl methyl carbonate,CCOC(=O)OC
AAUBbF,"1,5-pentanediol",OCCCCCO
AAUBtI,2-propoxyethanol,CCCOCCO
AAUFrd,imidazolium chloride,[Cl-].c1c[nH+]c[nH]1
AAUKxI,L-serine,N[C@@H](CO)C(=O)O
AAULXZ,2-(2-aminoethoxy)ethanol,NCCOCCO
AAULkX,propylammonium formate,CCC[NH3+].O=C[O-]
AAULmj,diethanolamine,OCCNCCO
AAULnp,ethylammonium acetate,CC(=O)[O-].CC[NH3+]
AAUTyA,sodium carbonate,O=C([O-])[O-].[Na+].[Na+]
AAUUnQ,"4-fluoro-1,3-dioxolan-2-one",O=C1OCC(F)O1
AAUVDI,"1,3-dimethylbenzene",Cc1cccc(C)c1
AAUVGQ,"1,4-dimethylbenzene",Cc1ccc(C)cc1
AAUVMY,benzaldehyde,O=Cc1ccccc1
AAUVOo,ethylbenzene,CCc1ccccc1
AAUVWV,diethylene glycol,OCCOCCO
AAUVtU,"1,2-dimethylbenzene",Cc1ccccc1C
AAUXsj,lithium perchlorate,[Li+].[O-]Cl(=O)(=O)=O
AAUZpZ,1-chloropentane,CCCCCCl
AAUfJj,"2,6-dimethylpyridine",Cc1cccc(C)n1
AAUfPO,N-methylaniline,CNc1ccccc1
AAUfXb,2-methylaniline,Cc1ccccc1N
AAUfhZ,benzylamine,NCc1ccccc1
AAUohR,ethylammonium nitrate,CC[NH3+].O=[N+]([O-])[O-]
AAUpMR,2-methylphenol,Cc1ccccc1O
AAUpNJ,3-methylphenol,Cc1cccc(O)c1
AAUppt,4-methylphenol,Cc1ccc(O)cc1
AAUprP,hexanedinitrile,N#CCCCCC#N
AAUpuK,anisole,COc1ccccc1
AAUpwm,benzenemethanol,OCc1ccccc1
AAUxxI,bromoethane,CCBr
AAUzDk,2-picoline N-oxide,Cc1cccc[n+]1[O-]
AAVDUE,tetramethylammonium chloride,C[N+](C)(C)C.[Cl-]
AAVFWz,sodium tetrafluoroborate,F[B-](F)(F)F.[Na+]
AAVHMA,lithium sulfate,O=S(=O)([O-])[O-].[Li+].[Li+]
AAVJZT,"1,2-benzenediol",Oc1ccccc1O
AAVKOG,1-octyne,C#CCCCCCC
AAVODp,difluorogermylene,F[Ge]F
AAVRYE,calcium chloride,[Ca+2].[Cl-].[Cl-]
AAVTDi,N-vinylpyrrolidone,C=CN1CCCC1=O
AAVcUV,"2,4(1H,3H)-pyrimidinedione",O=c1cc[nH]c(=O)[nH]1
AAVeGN,ethylcyclohexane,CCC1CCCCC1
AAVeHW,"1,2-dimethylcyclohexane",CC1CCCCC1C
AAVeNT,methylcyclohexane-d14,[2H]C([2H])([2H])C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H]
AAVeQP,"1,3-dimethylcyclohexane",CC1CCCC(C)C1
AAVeaX,cyclooctane,C1CCCCCCC1
AAVexq,oct-1-ene,C=CCCCCCC
AAVhcp,chlorobenzene,Clc1ccccc1
AAVlJf,"1,3-dichloropropane",ClCCCCl
AAVmhL,sodium tricyanomethanide,N#C[C-](C#N)C#N.[Na+]
AAVmzJ,"2,2,2-trifluoroacetamide",NC(=O)C(F)(F)F
AAVnNu,cyclohexanone oxime,ON=C1CCCCC1
